"constructorStandingsId","raceId","constructorId","points","position","positionText","wins","X"
26837,979,10,101,4,"4",0,NA
26838,979,5,39,6,"6",0,NA
26839,979,4,26,8,"8",0,NA
26840,979,15,5,10,"10",0,NA
26841,979,1,11,9,"9",0,NA
26842,979,210,29,7,"7",0,NA
26843,980,6,348,2,"2",4,NA
26844,980,131,392,1,"1",7,NA
26845,980,9,199,3,"3",1,NA
26846,980,3,45,5,"5",0,NA
26847,980,10,103,4,"4",0,NA
26848,980,5,40,6,"6",0,NA
26849,980,4,34,8,"8",0,NA
26850,980,15,5,10,"10",0,NA
26851,980,1,11,9,"9",0,NA
26852,980,210,35,7,"7",0,NA
26853,981,6,373,2,"2",4,NA
26854,981,131,435,1,"1",8,NA
26855,981,9,212,3,"3",1,NA
26856,981,3,55,5,"5",0,NA
26857,981,10,113,4,"4",0,NA
26858,981,5,40,6,"6",0,NA
26859,981,4,34,8,"8",0,NA
26860,981,15,5,10,"10",0,NA
26861,981,1,11,9,"9",0,NA
26862,981,210,35,7,"7",0,NA
26863,982,6,373,2,"2",4,NA
26864,982,131,475,1,"1",9,NA
26865,982,9,230,3,"3",1,NA
26866,982,3,59,5,"5",0,NA
26867,982,10,124,4,"4",0,NA
26868,982,5,52,6,"6",0,NA
26869,982,4,42,7,"7",0,NA
26870,982,15,5,10,"10",0,NA
26871,982,1,17,9,"9",0,NA
26872,982,210,37,8,"8",0,NA
26873,983,6,385,2,"2",4,NA
26874,983,131,503,1,"1",9,NA
26875,983,9,270,3,"3",2,NA
26876,983,3,65,5,"5",0,NA
26877,983,10,133,4,"4",0,NA
26878,983,5,52,6,"6",0,NA
26879,983,4,42,7,"7",0,NA
26880,983,15,5,10,"10",0,NA
26881,983,1,23,9,"9",0,NA
26882,983,210,37,8,"8",0,NA
26883,984,6,395,2,"2",4,NA
26884,984,131,540,1,"1",10,NA
26885,984,9,303,3,"3",2,NA
26886,984,3,66,5,"5",0,NA
26887,984,10,147,4,"4",0,NA
26888,984,5,52,6,"6",0,NA
26889,984,4,42,8,"8",0,NA
26890,984,15,5,10,"10",0,NA
26891,984,1,23,9,"9",0,NA
26892,984,210,43,7,"7",0,NA
26893,985,6,428,2,"2",4,NA
26894,985,131,575,1,"1",11,NA
26895,985,9,315,3,"3",2,NA
26896,985,3,68,5,"5",0,NA
26897,985,10,159,4,"4",0,NA
26898,985,5,53,6,"6",0,NA
26899,985,4,48,7,"7",0,NA
26900,985,15,5,10,"10",0,NA
26901,985,1,23,9,"9",0,NA
26902,985,210,43,8,"8",0,NA
26903,986,6,455,2,"2",4,NA
26904,986,131,595,1,"1",11,NA
26905,986,9,340,3,"3",3,NA
26906,986,3,76,5,"5",0,NA
26907,986,10,175,4,"4",0,NA
26908,986,5,53,6,"6",0,NA
26909,986,4,48,7,"7",0,NA
26910,986,15,5,10,"10",0,NA
26911,986,1,24,9,"9",0,NA
26912,986,210,47,8,"8",0,NA
26913,987,6,495,2,"2",5,NA
26914,987,131,625,1,"1",11,NA
26915,987,9,358,3,"3",3,NA
26916,987,3,82,5,"5",0,NA
26917,987,10,177,4,"4",0,NA
26918,987,5,53,6,"6",0,NA
26919,987,4,49,7,"7",0,NA
26920,987,15,5,10,"10",0,NA
26921,987,1,28,9,"9",0,NA
26922,987,210,47,8,"8",0,NA
26923,988,6,522,2,"2",5,NA
26924,988,131,668,1,"1",12,NA
26925,988,9,368,3,"3",3,NA
26926,988,3,83,5,"5",0,NA
26927,988,10,187,4,"4",0,NA
26928,988,5,53,7,"7",0,NA
26929,988,4,57,6,"6",0,NA
26930,988,15,5,10,"10",0,NA
26931,988,1,30,9,"9",0,NA
26932,988,210,47,8,"8",0,NA
